Global Land June Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
1993,0.29
1994,0.70
1995,0.82
1996,0.42
1997,0.72
1998,1.11
1999,0.48
2000,0.54
2001,0.68
2002,0.57
2003,0.58
2004,0.55
2005,0.97
2006,0.97
2007,0.83
2008,0.70
2009,0.67
2010,0.99
2011,0.95
2012,1.04
2013,1.03
2014,0.84
2015,1.16
2016,0.95
2017,0.90
2018,1.00
2019,1.16
2020,1.30
2021,1.25
2022,1.30
